ID,tmax_na_id,tmin_na_id,prcp_na_id
USC00147542,352,352,346
USC00244558,346,346,347
USW00003812,345,345,345
USW00003822,345,345,345
USW00003859,353,354,349
USW00003860,345,345,348
USW00003928,348,345,345
USW00003940,345,345,345
USW00004725,345,345,345
USW00012834,345,345,345
USW00012836,348,349,348
USW00012839,345,345,345
USW00012842,345,345,345
USW00012844,345,345,346
USW00012912,345,345,346
USW00012917,345,345,347
USW00012919,345,345,345
USW00012924,345,345,345
USW00013722,345,345,345
USW00013723,345,345,346
USW00013733,347,349,345
USW00013739,345,345,345
USW00013741,345,345,345
USW00013743,345,345,345
USW00013748,345,345,345
USW00013865,345,345,347
USW00013866,345,345,345
USW00013870,346,346,351
USW00013871,349,351,350
USW00013872,345,345,349
USW00013873,345,345,345
USW00013876,345,345,345
USW00013878,347,347,348
USW00013880,345,345,345
USW00013881,345,345,345
USW00013883,345,345,345
USW00013889,345,345,345
USW00013895,347,347,347
USW00013957,345,345,345
USW00013959,345,345,345
USW00013962,345,345,345
USW00013963,345,345,345
USW00013966,347,347,347
USW00013967,345,345,345
USW00013968,345,345,356
USW00013969,348,349,352
USW00013971,353,353,354
USW00013976,350,352,348
USW00013985,345,345,346
USW00013994,345,345,345
USW00013996,345,345,345
USW00014605,346,346,345
USW00014607,345,345,345
USW00014732,345,345,345
USW00014733,345,345,345
USW00014734,345,345,345
USW00014742,345,345,345
USW00014750,348,347,347
USW00014755,345,345,345
USW00014768,345,345,345
USW00014771,345,345,350
USW00014820,345,345,345
USW00014821,345,345,345
USW00014826,345,345,345
USW00014827,345,345,345
USW00014837,345,345,345
USW00014839,345,345,345
USW00014852,345,345,345
USW00014891,345,345,345
USW00014895,345,345,345
USW00014897,351,351,347
USW00014898,345,345,345
USW00014914,345,345,345
USW00014918,345,345,345
USW00014923,345,345,345
USW00014925,345,345,346
USW00014933,346,346,346
USW00014936,345,345,345
USW00014940,345,345,348
USW00014941,345,345,345
USW00014943,345,345,345
USW00014944,345,345,345
USW00014991,345,346,345
USW00022010,346,346,347
USW00022536,345,346,345
USW00023023,345,345,345
USW00023042,345,345,345
USW00023047,345,345,345
USW00023050,345,345,345
USW00023065,345,345,345
USW00023066,345,345,345
USW00023070,350,348,347
USW00023129,345,345,346
USW00023154,352,354,345
USW00023155,345,345,345
USW00023160,346,346,345
USW00023169,345,345,345
USW00023174,345,345,345
USW00023183,345,345,345
USW00023237,346,348,346
USW00024011,345,345,345
USW00024018,345,345,345
USW00024023,345,345,346
USW00024033,345,345,345
USW00024036,346,346,345
USW00024127,345,345,345
USW00024128,345,345,345
USW00024131,345,345,345
USW00024143,345,345,346
USW00024149,352,352,351
USW00024153,345,345,345
USW00024156,345,345,345
USW00024213,345,345,345
USW00024227,356,356,348
USW00024229,345,345,345
USW00024233,345,345,348
USW00024243,345,347,345
USW00025309,347,346,348
USW00025339,345,345,345
USW00025501,349,353,345
USW00025503,345,345,345
USW00025624,345,345,345
USW00025713,345,345,345
USW00026411,345,345,345
USW00026451,345,345,345
USW00026510,361,357,345
USW00026533,355,358,345
USW00026615,345,345,345
USW00026616,345,345,345
USW00026617,345,345,345
USW00027502,345,345,345
USW00093129,345,345,347
USW00093193,345,345,345
USW00093209,349,349,347
USW00093720,345,346,349
USW00093721,345,345,345
USW00093729,360,363,349
USW00093730,345,345,345
USW00093738,345,345,345
USW00093805,346,347,348
USW00093814,345,345,345
USW00093819,345,345,345
USW00093820,345,345,345
USW00093822,345,345,346
USW00093842,345,346,345
USW00093987,348,348,346
USW00093989,348,348,358
USW00094012,347,347,349
USW00094789,345,345,345
USW00094814,345,345,345
USW00094823,345,345,345
USW00094830,345,345,345
USW00094847,345,345,345
USW00094860,345,345,345
USW00094910,345,345,346
