ID,tmax_na_id,tmin_na_id,prcp_na_id,snow_na_id,snwd_na_id
USC00147542,352,352,346,352,346
USW00003812,345,345,345,345,345
USW00003928,348,345,345,345,345
USW00004725,345,345,345,350,355
USW00012842,345,345,345,349,346
USW00013722,345,345,345,345,345
USW00013723,345,345,346,345,348
USW00013733,347,349,345,346,359
USW00013739,345,345,345,345,346
USW00013741,345,345,345,346,358
USW00013748,345,345,345,347,349
USW00013866,345,345,345,348,348
USW00013881,345,345,345,345,345
USW00013883,345,345,345,349,347
USW00013957,345,345,345,354,348
USW00013966,347,347,347,346,359
USW00013967,345,345,345,345,351
USW00013994,345,345,345,346,346
USW00014732,345,345,345,345,345
USW00014733,345,345,345,358,347
USW00014734,345,345,345,345,345
USW00014742,345,345,345,360,349
USW00014755,345,345,345,345,346
USW00014768,345,345,345,349,349
USW00014771,345,345,350,345,345
USW00014820,345,345,345,347,348
USW00014821,345,345,345,345,348
USW00014826,345,345,345,362,345
USW00014827,345,345,345,346,345
USW00014839,345,345,345,345,345
USW00014898,345,345,345,345,345
USW00014925,345,345,346,345,345
USW00014933,346,346,346,345,345
USW00014941,345,345,345,346,345
USW00014944,345,345,345,345,345
USW00023042,345,345,345,351,348
USW00023047,345,345,345,362,349
USW00023066,345,345,345,345,345
USW00023155,345,345,345,347,347
USW00023169,345,345,345,345,345
USW00024018,345,345,345,347,347
USW00024023,345,345,346,350,348
USW00024033,345,345,345,349,347
USW00024127,345,345,345,352,350
USW00024131,345,345,345,345,345
USW00024153,345,345,345,346,345
USW00024156,345,345,345,349,346
USW00024213,345,345,345,346,346
USW00024229,345,345,345,346,346
USW00025339,345,345,345,354,345
USW00025501,349,353,345,354,350
USW00025503,345,345,345,345,345
USW00026411,345,345,345,345,345
USW00026451,345,345,345,345,345
USW00026510,361,357,345,349,347
USW00026615,345,345,345,347,346
USW00026616,345,345,345,345,345
USW00026617,345,345,345,348,345
USW00093193,345,345,345,345,345
USW00093721,345,345,345,346,345
USW00093738,345,345,345,345,353
USW00093814,345,345,345,370,363
USW00093820,345,345,345,345,356
USW00093822,345,345,346,345,345
USW00094789,345,345,345,345,345
USW00094823,345,345,345,345,348
USW00094847,345,345,345,358,353
USW00094910,345,345,346,345,347
